	Transliteration	Normalized
20737	Puzur4-Ma-ma-ta	Puzur₄.Ma.ma[]PN
20738	Puzur4-Ma-ma-še3	Puzur₄.Ma.ma[]PN
20739	Puzur4-NE-um	Puzur₄.NE.um[]PN
20740	Puzur4-NIG2	Puzur₄.NIG₂[]PN
20741	Puzur4-Na-ni	Puzur₄.Na.ni[]PN
20742	Puzur4-SIG4-NI	Puzur₄.SIG₄.NI[]PN
20743	Puzur4-Tu-tu	Puzur₄.Tu.tu[]PN
20744	Puzur4-We-er	Puzur₄.We.er[]PN
20745	Puzur4-ZA	Puzur₄.ZA[]PN
20746	Puzur4-a-a	Puzuraya[]PN
20747	Puzur4-a-ba	Puzuraba[]PN
20748	Puzur4-a-bi	Puzurabi[]PN
20749	Puzur4-a-bi-ih	Puzurabih[]PN
20750	Puzur4-a-bi-ta	Puzurabi[]PN
20751	Puzur4-a-bi2	Puzurabi[]PN
20752	Puzur4-a-lu	Puzuralu[]PN
20753	Puzur4-a-lum	Puzuralum[]PN
20754	Puzur4-a-mi	Puzurami[]PN
20755	Puzur4-a-ni	Puzurani[]PN
20756	Puzur4-a-ša	Puzuraša[]PN
20757	Puzur4-a-šu2-ki	Puzurašuki[]PN
20758	Puzur4-a2-bi2	Puzurabi[]PN
20759	Puzur4-ab-ba	Puzuraba[]PN
